type,id
Architect,Steven Holl Architects
Architect,Hunter Point Library
Architect,Zaha Hadid Architects
Architect,Antoine le Pautre
Architect,Greene and Greene
Architect,Curtis Fentress
Architect,Tay Kheng Soon
Architect,Frank Lloyd Wright
Architect,Frank Gehry
Architect,Carlo Scarpa
Architect,Tadao Ando Architect & Associates
Architect,Arata Isozaki
Architect,Le Corbusier
Architect,Alvar Aalto
Architect,Safdie Architects
Architect,Edward Suzuki Associates
Architect,Richard Neutra
Architect,Bjarke Ingels Group
Architect,OZ. E. TECTURE
Architect,Thomas Jefferson
Architect,Buckminster Fuller
Architect,Behnisch & Partner
Architect,Frei Otto
Architect,"Leonhardt, Andrä und Partner"
Architect,PTW Architects
Architect,CSCEC & DESIGN
Architect,Jean Nouvel
Architect,SANAA
Architect,Louis Kahn
Architect,Gerrit Rietveld
Architect,Foster + Partners
Architect,Alsop Architects
Architect,James Stirling
Architect,Michael Wilford
Architect,Spark Architects
Architect,Gunnar Asplund
Architect,Shigeru Ban
Architect,Michael Green Architecture
Architect,DLR Group
Architect,MVRDV
Architect,Richard Rogers
Architect,Renzo Piano
Architect,Ole Scheeren
Architect,Richard Rogers (RSHP)
Architect,COOP HIMMELB(L)AU
Architect,Leers Weinzapfel Associates
Architect,Studio Libeskind
Architect,Iannis Xenakis
Aspects,Structure
Aspects,Circulation
Aspects,Spatial Organisation
Aspects,Operation
Aspects,Site
Aspects,Ordering Principle
Attribute,"""Bilbao Effect"""
Attribute,20th Century
Attribute,360 panoramic views
Attribute,active gathering spaces
Attribute,adjoined units
Attribute,arc
Attribute,architectural promenade
Attribute,art glass
Attribute,aspiring
Attribute,asymmetrical
Attribute,asymmetrical site
Attribute,atrium
Attribute,axes
Attribute,baroque
Attribute,beach
Attribute,blurring
Attribute,box
Attribute,brick
Attribute,canopy
Attribute,cargo containers
Attribute,cavernous
Attribute,central staircase
Attribute,circular
Attribute,circulation
Attribute,clean
Attribute,clerestory windows
Attribute,collapsable walls
Attribute,colonnade
Attribute,colours
Attribute,column-free spaces
Attribute,compact plan
Attribute,composition
Attribute,concrete
Attribute,concrete structure
Attribute,connector
Attribute,contours
Attribute,courtyard
Attribute,craftsmenship
Attribute,creek
Attribute,cross ventilation
Attribute,cubes
Attribute,cultural treasure
Attribute,curtain-wall
Attribute,curves
Attribute,cyclones
Attribute,daylight
Attribute,detail
Attribute,Displacement Ventilation System
Attribute,dome
Attribute,domed roof
Attribute,Doric columns
Attribute,Doric entablature
Attribute,double skin
Attribute,double-curved
Attribute,dry winters
Attribute,dynamic spaces
Attribute,ecosystem
Attribute,edifice
Attribute,elegant
Attribute,elevated
Attribute,enclosure
Attribute,energy
Attribute,"event plaza
"
Attribute,expansion
Attribute,extended portico
Attribute,fabric roof
Attribute,family
Attribute,flexible enclosure
Attribute,flexible interior spaces
Attribute,flexible space
Attribute,flooding
Attribute,flowing shapes
Attribute,folds
Attribute,four-square
Attribute,free facade
Attribute,free plan
Attribute,free-flowing spaces
Attribute,free-form structure
Attribute,french baroque
Attribute,galleries
Attribute,garden
Attribute,glazing
Attribute,green
Attribute,green belt
Attribute,green roof
Attribute,hexgonal campanile
Attribute,high-tensile cables
Attribute,horizontal
Attribute,iconic
Attribute,indoor waterfall
Attribute,inflatable
Attribute,inflections
Attribute,inner facade
Attribute,inside out
Attribute,interlocking squares
Attribute,intimate reading spaces
Attribute,inviting
Attribute,Japanese
Attribute,lagoon
Attribute,landmark
Attribute,landscape
Attribute,landscaping
Attribute,leisure
Attribute,light
Attribute,light and shadow
Attribute,light ornament
Attribute,lightweight
Attribute,linear
Attribute,lively
Attribute,long and narrow
Attribute,lumber
Attribute,marketplace
Attribute,meander
Attribute,membrane
Attribute,metallic 
Attribute,mezzanine
Attribute,mobile
Attribute,modular
Attribute,modular facade
Attribute,Monsoonal Tropical Climate
Attribute,monumental
Attribute,motion
Attribute,movement
Attribute,multi-level interior spaces
Attribute,multi-purposed stairs
Attribute,multicolored
Attribute,natural light
Attribute,nature
Attribute,non-bureaucratic 
Attribute,octagonal drum
Attribute,oculus
Attribute,open circulatory space
Attribute,open-plan
Attribute,openings
Attribute,operable skin
Attribute,orb
Attribute,outdoor spaces
Attribute,overlapping blocks
Attribute,paint
Attribute,parallel
Attribute,park
Attribute,pedestrian bridges
Attribute,perforations 
Attribute,pinwheel
Attribute,pioneer
Attribute,pitched roof
Attribute,porch
Attribute,portable partitions
Attribute,prefabricated
Attribute,projections
Attribute,protective shell
Attribute,public plaza
Attribute,punctured
Attribute,radical
Attribute,raised floors
Attribute,ramp
Attribute,recesses
Attribute,scale
Attribute,screen
Attribute,sculpted cuts
Attribute,sculptural
Attribute,semi-transparent
Attribute,shade
Attribute,shallow dome
Attribute,simple geometry
Attribute,single-loaded
Attribute,sinuous
Attribute,site response
Attribute,skylight
Attribute,skylit central commons
Attribute,slicing
Attribute,snaking
Attribute,social spaces
Attribute,spatial and interactive experiences
Attribute,spiral
Attribute,squares
Attribute,static
Attribute,steel masts
Attribute,stone
Attribute,storm water management
Attribute,structural fields
Attribute,structural glass
Attribute,suspended catenary glass-bottom bridge walk
Attribute,swimming pool
Attribute,tea house
Attribute,teamed
Attribute,terrace
Attribute,terraced indoor garden
Attribute,textile-block
Attribute,textures
Attribute,topography
Attribute,transformation
Attribute,transitionary space
Attribute,triangle pediment
Attribute,uncluttered
Attribute,undulating
Attribute,universal space
Attribute,urban cave
Attribute,vertical canyons
Attribute,vertical counterpoint
Attribute,views
Attribute,visual connections
Attribute,void
Attribute,warm
Attribute,wayfinding
Attribute,wet summers
Attribute,wood-concrete composite
Attribute,wooden balustrade
Attribute,workshops
Attribute,floating
Attribute,double height
Attribute,interlocking
Attribute,open volume
Attribute,cantilever
Attribute,sound
Attribute,harmony
Attribute,expo
Attribute,electronic
Attribute,layered
Attribute,prismatic
Attribute,stretching
Attribute,motifs
Attribute,moveable walls
Attribute,triangular
Attribute,octagonal
Attribute,angled
Location,Belgium
Location,Sweden
Location,Malaysia
Location,Bangladesh
Location,The Netherlands
Location,Qatar
Location,China
Location,Germany
Location,Canada
Location,Denmark
Location,Finland
Location,France
Location,Azerbaijan
Location,Japan
Location,United States
Location,Panama
Location,Spain
Location,India
Location,Italy
Location,England
Location,Switzerland
Location,Singapore
Location,Australia
Materials,Stone
Materials,PTFE
Materials,ETFE
Materials,Wood
Materials,Brick
Materials,Concrete
Materials,Plaster
Materials,Ceramic
Materials,Glass
Materials,Steel
Materials,Limestone
Materials,Titanium
Materials,Plastic
Materials,Textile-block
Materials,Slate
Materials,Glass Fiber Reinforced Polyester
