Architect,Attribute,Keywords,Location,Materials,Principle,Program,Project,Style,Text,Year,_id
Tadao Ando Architect & Associates,"Natural light
Light and shadow
Porch
vertical counterpoint
simple geometry

","Circulation: Linear
spatial sequence
natural light
simple geometry
light and shadow
vertical counterpoint
porch
","Kobe, Japan",Concrete,Spatial sequence,religious,Chapel on Mt. Rokko,Contemporary,"This small chapel located on Mount Rokko, near Kobe, completes the trilogy of Christian religious structures designed by Tadao Ando in the mid-1980s. While not enjoying the same reputation as the Church on the water or the Church of light, the chapel on Mount Rokko becomes a synthesis of its predecessors and underlines the architect's effort to establish a link between religious space and nature.
In this chapel Ando uses the materials of cement, glass and light to create a powerful spiritual place through a rich spatial sequence of light and dark, direct and indirect natural light. His usual architectural vocabulary: simple geometry, meticulously studied and delicate games of light and shadow, as well as the modulated exposed concrete surfaces that interact with metal and glass.
However, this chapel includes western elements such as the bell tower, which plays a formal rather than utilitarian role, becoming a vertical counterpoint to a predominantly horizontal composition.
Unlike the towers of the western church where the bell called parishioners to religious services and other events, in this case the bells are rarely rung, to avoid disturbing the customers of the hotel where the chapel is located.
As in other churches, Ando avoids direct and pompous access to the chapel. Instead, use a 40-meter-long concrete porch, covered with opaque turquoise glass, on which it once stands in steel and glass. This tunnel provides processional access to the chapel, emphasizing the majesty of the approach to marriage.
However, this view of the tunnel does not lead directly to the building or to a monumental access, since the chapel is located on one side of the path. The tunnel frames nature, or in this case the garden.
The next space is a dark hall defined by a curved wall which invites the visitor to enter the chapel establishing a transition between darkness and light, the mundane space and the sacral area.
Subsequently, the space is enlarged to generate the main chapel, a 6.5 m cube on each side where a wall has been replaced by a large window, using the structure to represent the theme of the cross.
In this way Ando reaches virtual contact with nature, through a framed view of the landscape and a sumptuous display of light. The effect is reinforced by the contrast of the colorful garden and the solemn monochromatic room.
A different type of light sharply illuminates the area of ​​the altar through a thin elongated crack located at the intersection of the wall with the roof. This function allows an ever-changing play of light on the rough surface of the concrete, whose appearance changes according to the time of day and day of the year.
",1986,6100eb253a671e6970209ea4
Bjarke Ingels Group,"Overlapping Blocks
urban cave
wayfinding
skylight
360 Panoramic Views
Multi-purposed Stairs
Scale
","Operation: Stack
Scale
Overlapping Blocks
Urban Cave
Wayfinding
Skylight
360 Panoramic Views
Multi-purposed Stairs
",Denmark,Concrete,,Museum,LEGO House,Contemporary,"BIG-Bjarke Ingels Group and LEGO bring the toy scale of the classic LEGO brick to architectural scale with LEGO House, forming vast exhibition spaces and public squares that embody the culture and values at the heart of all LEGO experiences.
Designed by BIG and COWI, LEGO House is an experience hub for LEGO fans of all ages, as well as an architectural landmark and a significant step towards the city’s goal of making Billund the Capital for Children. The construction of the 12,000 m2 LEGO House commenced in 2014, replacing the former City Hall building with support from three generations of the LEGO family and Billund City Mayor Ib Kristensen.
Due to its central location in the heart of Billund, the 23 m tall LEGO House is conceived as an urban space as much as an experience center. 21 overlapping blocks are placed like individual buildings, framing a 2,000 m2 LEGO square that is illuminated through the cracks and gaps between the volumes. The plaza appears like an urban cave without any visible columns and is publicly accessible, allowing visitors and citizens of Billund to shortcut through the building.
The LEGO square is energized by an urban character, welcoming locals and visitors to the café, restaurant, LEGO store and conference facilities. Above the square, a cluster of galleries overlap to create a continuous sequence of exhibitions. Each gallery is color-coded in LEGO’s primary colors so wayfinding through the exhibitions becomes a journey through the color spectrum.
The first and second floors include four play zones arranged by color and programmed with activities that represent a certain aspect of a child's learning: red is creative, blue is cognitive, green is social, and yellow is emotional. Guests of all ages can have an immersive and interactive experience, express their imagination, and not least be challenged by meeting other builders from all over the world. The top of the building is crowned by the Masterpiece Gallery, a collection of LEGO fans’ beloved creations that pay tribute to the LEGO community.
The Masterpiece Gallery is made of the iconic 2x4 LEGO brick and showcases art beneath eight circular skylights that resemble the studs of the brick. Like the golden ratio, the proportions of the brick are nested in the geometries of everything man-made in the building, from the glazed ceramic tiles in the steps and walls to the overall 21 block scheme. Atop the Masterpiece Gallery, citizens and visitors can get a 360° panoramic view of the city. Some of the rooftops can be accessed via pixelated public staircases that double as informal auditoria for people watching or seating for performances.",2017,6100eb253a671e6970209eb6
Alsop Architects,"plaza
box","Operation: Add
views
plaza
suspended
conventional
box","Toronto, Canada","Steel
Aluminium","suspended
conventional
views",Education,Sharp Centre for Design,Contemporary,"The Sharp Centre for Design is part of the Ontario College of Art and Design (OCAD). It was created as part of a wider project to allow the college to expand, and can be found in the heart of Toronto, a kilometre north of the famous CN Tower.
It was designed by Alsop Architects in a joint venture with Toronto-based Robbie/Young + Wright. They were selected in 2000, and the $42.5 million construction started in 2002. It was completed in October 2004.
The Sharp Centre for Design is formed by a rectangular structure 26m above the ground, supported by twelve brightly-coloured steel columns, located directly over the oldest building on the Campus. The building was raised above the ground to preserve views of Grange Park through McCaul Street. The free area below the building houses a plaza, providing access to, and an extension of the park.
Besides apparently suspended in the sky, it is a very conventional structure, essentially a box, with an efficient use of space for classrooms, studios, offices and workplace for students.",2014,6100eb253a671e6970209ec9
"Stephen Pimbley
Spark",visual connections,"Operation: Chamfer
visual connections
fractured
solidity
transparency
cutting-edge","Kuala Lumpur, Malaysia","glass
steel
stone","fractured
solidity
transparency
cutting-edge
visual connections",retail,Starhill Gallery,Modern,"Spark's design proposal dealt with the reinvention of the existing façade of Starhill Gallery facing Bukit Bintang. This reinvention of Starhill Gallery is designed by Stephen Pimbley, founding director of Spark and the architect behind Singapore’s hugely popular Clarke Quay.
Stephen says, “Unlike many street-facing malls in Kuala Lumpur, our new façade for Starhill Gallery is firmly engaged with the public realm and generates valuable visual connections along this section of Bukit Bintang via the heavy footfall. We have designed a beacon for Starhill Gallery that celebrates its relationship with the city.”
Spark's design has opened up the façade which provides a lot of visual interest via a continuous shop front that wraps the existing building in a crystalline skin of glass and stone panels. The new façade resembles the ""wet drapery"" of the ancient statues of Greece and Rome, and the beautifully crafted gowns on sale inside Starhill Gallery. The fractured variation of solidity and transparency transforms the street façade of the existing building entirely, giving it a new contemporary classic identity that stands out amongst the quick-fix, ubiquitous shopping mall façades of many of Starhill Gallery’s neighbours.
Spark’s lightweight steel, stone and glass façade is the first of their kind in Malaysia that embraces cutting-edge façade technology from the French engineer RFR, the team that delivered the Pyramid at the Paris Louvre.",1996,6100eb253a671e6970209ecc
Louis Kahn,"natural light
terrace
clerestory windows","Circulation: Radial
natural light
clerestory
punctured
terrace
","Exeter, US","wood
concrete
brick
stone
slate",punctured,library,Phillips Exeter Academy Library,Modern,"In 1965 Louis I. Kahn was commissioned by the Phillips Exeter Academy to design a library for the school. The Academy had been planning the new library for fifteen years but were consistently disappointed with the designs that the hired architects and committee were proposing. The Academy was very particular in knowing the kind of building they wanted: a brick exterior to match the Georgian buildings of the school and an interior with the ideal environment for study. Kahn's sympathetic use of brick and his concerns for natural light met these specific principles that the Academy had in mind for the library, and thus the design fell in his hands.
""The quality of a library, by inspiring a superior faculty and attracting superior students, determines the effectiveness of a school. No longer a mere depository of books and magazines, the modern library becomes a laboratory for research and experimentation, a quiet retreat for study, reading and reflection, the intellectual center of the community.… Fulfilling needs of a school expected eventually to number one thousand students, unpretentious, though in a handsome, inviting contemporary style, such a library would affirm the regard at the Academy for the work of the mind and the hands of man.""
People enter the 111'x111' square library from the ground floor and climb up a grand set of stone stairs to the first floor. Coming up the last step onto the first floor one can immediately perceive the relationship of reference area, circulation desk, and book stacks. Kahn found this aspect to be important so that visitors can easily understand the plan of the building upon their entrance.
With the circulation desk on the first floor instead of the ground floor it is evident that service took priority over security. The Academy accepted this at ease since it allowed librarians to be closer to the bookstacks and the readers, therefore making the most sense when considering the function of a circulation desk in a library.
The beauty in the architecture of the first floor, however, is what gave the Exeter Library its fame. This main floor reaches 70 feet in height and soaks in natural light from a clerestory at the top of this space and from large expanses of glass on the north and west sides. From this 50 foot square space visitors can spot metal bookstacks and readers seven levels above through large holes punctured perfectly into the walls, almost touching at the corners where the walls square off.
The upper floors contain book stacks for 250,000 volumes, a student computer lab, a viewing area for videotapes and DVDs, listening areas for music, offices for use of faculty members, and 210 specially designed study carrels for students. On these floors are approximately 450 different seating types scattered among the building in different rooms, such as some lounges and on a terrace that encircles the building along the exterior of the fourth floor.
Kahn used Exeter brick on the exterior of the nine story building, a material made in Exeter itself and a design factor that was important to the Academy. He also used stone and slate in the interior, and finished certain aspects of the library in natural wood. The wood contrasted the stone by giving the spaces a sense of warmth and a glow that welcomed readers when the natural light flooded upon this natural material.
The Academy was finally content with their new library when it was completed in 1972. Kahn was successful in meeting all of their resquests through his own principles of design. The building is functional and meets the needs of the readers first while still standing as an innovative structure in itself. It is, in Kahn's words, ""the thoughtful making of spaces.""",1972,6100eb253a671e6970209ec3
Frank Gehry,"Atrium
Canopy","Operation: Fold
Atrium
Canopies","Causeway Islands, Panama City, Panama","Steel
Concrete",,Museum,Biomuseo,Contemporary,"The project comprises three main elements: the museum building, the exhibition design and the surrounding park.
At the heart of the project is a public outdoor atrium covered by colorful metal canopies designed to protect visitors from frequent wind-driven rains. Surrounding the central atrium are unticketed public areas, including the museum store, a café and a temporary exhibition space, as well as the two main ticketed exhibition wings of the building. The atrium level, elevated one floor above grade, allows for extended views to the Canal and city, in addition to protecting the outdoor exhibition space below, which connects the two exhibition wings.
The Park of Biodiversity expands the exhibition narrative into the surrounding landscape. Located here and there around the park are education stations that augment the visitor’s experience of the museum by illustrating real-life interaction between local plant and animal species. Because of the civic nature of the museum’s exterior atrium, the park is designed as a publicly accessible space for local residents.",2014,6100eb253a671e6970209ea1
Leers Weinzapfel Associates,"Dynamic Spaces
Skylit Central Commons
Green Roof
Glazing
Skylight
Wood-concrete Composite
Storm Water Management","Structure: Timber Frame
Wood-concrete Composite
Dynamic Spaces
Skylit Central Commons
Green Roof
Glazing
Skylight
Storm Water Management","Amherst, US","Wood
Glass
Steel",,University,UMass Design Building,Contemporary,"The Design Building at the University of Massachusetts Amherst is the first Cross Laminated Timber (CLT) academic building in the United States and the largest installation of wood concrete composites in North America. The$52M, 87,500-square-foot project, made possible through supplemental funding from the Massachusetts State Legislature, is a dynamic space of exchange, collaboration, and experiment. Uniting the university’s departments of Architecture, Landscape Architecture and Regional Planning, and the Building and Construction Technology program under one roof for the first time, the structure itself is a teaching tool for prescient sustainable design.

The building is organized around a skylit central commons that brings students together for lectures, exhibits, presentations, and informal gatherings. Studios, maker spaces and classrooms surround the central space that opens onto the street as a showcase for the design disciplines. The commons is capped by a green roof that comprises an outdoor learning environment and experimental space for the landscape department.

A demonstration of the construction process itself, columns and beams of glue-laminated wood, a floor of composite, exposed cross laminated timber plank and cast in place concrete, and the lobby’s “zipper truss”  (developed in consultation with Equilibrium Consulting) all exemplify innovative timber engineering. 

The building’s highly-efficient envelope of copper-colored, anodized aluminum panels and vertical windows suggests the colors and patterns of the region’s forests and trees. Surrounding landscaping by Stephen Stimpson Associates makes extensive use of native plants and paving materials. Dedicated mechanical equipment is zoned for optimal efficiency, and extensive glazing and skylights provide maximum daylight to the building’s interior, reducing the need for artificial lighting. Storm water management directs roof runoff to a “spring source” at the top of the site, filtering the water through bio-swales and timber dams to the site’s lower end and back to the Connecticut River. Suffolk was construction manager for the project, which is targeting LEED Gold certification.",2017,6100eb253a671e6970209ed5
Le Corbusier and Iannis Xenakis,"sound
harmony
expo
electronic","Structure: Tensile
gestalt
sound
harmony
expo
electronic
temporary
utopia
tension
algorithm



","Brussels, Belgium",concrete,"gastalt
temporary
utopia
tension
algorithm",pavilion,Philips Pavilion,Modernist,"The concept behind the [1958] Expo was to celebrate the rejuvenation of civilization from the destruction of war through the use of technology. This World Fair is best known for the musical advances that was combined with architecture, creating a gestalt through an experiential encounter where body meets sound and space.

At the forefront of this new journey was the Philips electronics company. Not wanting to be outshone by the Americans and their developments with color television, the Philips Electronics Company decided to step away from displaying commercial goods and instead create a unique experience for the thousands of people that would be attending the Expo. The experiential space was created by putting together an international team consisting of an architect, an artist and a composer to create a pavilion displaying electronic technology in as many forms as possible, serving arts, culture, and the overall betterment of humankind.",1958,6100eb253a671e6970209ed9
Carlo Scarpa,,"Site: Heritage
restoration
","Verona, Italy","wood
concrete
brick",Restoration,Museum,Castelvecchio Museum,Renaissance,"Castelvecchio Museum (Italian: Museo Civico di Castelvecchio) is a museum in Verona, northern Italy, located in the eponymous medieval castle. Restoration by the architect Carlo Scarpa, between 1959 and 1973, has enhanced the appearance of the building and exhibits. Scarpa's unique architectural style is visible in the details for doorways, staircases, furnishings, and even fixtures designed to hold a specific piece of artwork. It is in the Castelvecchio Museum that Carlo Scarpa's delicate handling of ancient buildings comes to its highest achievement. Here floor patterns and materials interact to form a tactile play of pliant versus hard surfaces The new is held apart from the old by revealjoints and spatial slots that function as miniature conceptual ""moats,"" and each work of art is lovingly held up to view by a stand or a bracket that is almost human in its anthropomorphic configuration. Carlo Scarpa resisted the postmodern and neorationalist influences of the 1970s, preferring to elaborate a decorative system derived from the materials of modern architecture used in a craft tradition. ",1973,6100eb253a671e6970209ea3
Curtis Fentress,"fabric roof
canopy
clerestory windows
curtain-wall
iconic","Structure: Tensile
iconic
fabric roof
canopy
clerestories
curtain-wall
","Denver, Colorado, USA","Steel
PTFE",,Airport,Denver Airport,Parametric,"When the City of Denver handed Fentress the project, the airport was behind schedule, over budget and had an unfavorable design. Given a deadline of only three weeks to propose a new concept, Curtis Fentress worked tirelessly to design an innovative solution for Denver’s passenger terminal that was more affordable, faster to build, and most notably, an iconic design. The city wanted a symbol as much as a gateway, a building as visually memorable as it was functional.
Fentress’ design broke through the ceiling of a thirty-five year period in which airports had devolved into “people processors,” with cramped maze-like corridors and dingy fluorescent-lit interiors. The established “warehouse” design approach trended away from passengers’ needs. Having researched airport design for his masters thesis, Curtis Fentress, a protégé of I.M. Pei and the head of his own established firm, vowed to change this trend.
“We took all the mechanicals off the roof,” Fentress says, recalling the process of creating the world’s then-largest and most famous fabric roof. “This freed us to create a superlight cutting-edge structure, a canopy saturated with light. In doing so, it saved the airport thousands of tons of steel, USD$115 million in budget, and reduced the construction schedule by nine months.”
As a pioneer in sustainable design, Fentress set the groundwork for an environmentally responsible airport design. Natural daylight bathes the interior of the terminal via numerous clerestories, curtain-walls (with a low-e coating) and the translucent roof. The roof material allows 10 percent of visible light to pass through the fabric during the day, while it reflects 90 percent of solar radiation in a high-altitude environment, reducing solar heat gain. The canopy drastically reduces the need for indoor lighting during daylight hours, capitalizing on Denver’s 300 days of sunshine per year. Afterwards, the airport installed a “solar farm” with 9,000 panels producing 3.5 million kilowatts of electricity.",1995,6100eb253a671e6970209ea7
