From Type,From Name,Edge,To Type,To Name,Weight
Precedents,Hunter Point Library,relates to,Sub-Aspects,Operation: Subtract,8
Precedents,Hunter Point Library,is designed by,Architect,Steven Holl Architects,8
Precedents,Hunter Point Library,has Style,Style,Modern,6
Precedents,Hunter Point Library,is built using,Materials,Concrete,13
Precedents,Hunter Point Library,is designed/built in,Year,2019,12
Precedents,Hunter Point Library,is located in,Location,United States,10
Precedents,Hunter Point Library,serves as a ,Programme,Library,13
Precedents,Hunter Point Library,has Attribute,Attribute,intimate reading spaces,13
Precedents,Hunter Point Library,has Attribute,Attribute,active gathering spaces,6
Precedents,Hunter Point Library,has Attribute,Attribute,social spaces,6
Precedents,Hunter Point Library,has Attribute,Attribute,mezzanine,10
Precedents,Hunter Point Library,has Attribute,Attribute,compact plan,6
Precedents,Hunter Point Library,has Attribute,Attribute,natural light,7
Precedents,Hunter Point Library,has Attribute,Attribute,sculpted cuts,7
Precedents,Hunter Point Library,has Principle,Principle,programmatic divisions,12
Precedents,Heydar Aliyev Centre,serves as a,Programme,Cultural center,5
Precedents,Heydar Aliyev Centre,relates to,Sub-Aspects,Operation: Curve,5
Precedents,Heydar Aliyev Centre,relates to,Sub-Aspects,Structure: Space Frame,10
Precedents,Heydar Aliyev Centre,is designed by,Architect,Zaha Hadid Architects,10
Precedents,Heydar Aliyev Centre,has Style,Style,Contemporary,13
Precedents,Heydar Aliyev Centre,is built using,Materials,Wood,12
Precedents,Heydar Aliyev Centre,is built using,Materials,Concrete,13
Precedents,Heydar Aliyev Centre,is built using,Materials,Glass Fiber Reinforced Polyester,5
Precedents,Heydar Aliyev Centre,is designed/built in,Year,2013,12
Precedents,Heydar Aliyev Centre,is located in,Location,Azerbaijan,6
Precedents,Heydar Aliyev Centre,has Attribute,Attribute,column-free spaces,7
Precedents,Heydar Aliyev Centre,has Attribute,Attribute,aspiring,15
Precedents,Heydar Aliyev Centre,has Attribute,Attribute,undulating,13
Precedents,Heydar Aliyev Centre,has Attribute,Attribute,folds,15
Precedents,Heydar Aliyev Centre,has Attribute,Attribute,inflections,7
Precedents,Heydar Aliyev Centre,has Attribute,Attribute,blurring,6
Precedents,Heydar Aliyev Centre,has Attribute,Attribute,concrete structure,12
Precedents,Heydar Aliyev Centre,has Attribute,Attribute,free-form structure,13
Precedents,Heydar Aliyev Centre,has Attribute,Attribute,motion,6
Precedents,Heydar Aliyev Centre,has Attribute,Attribute,topography,11
Precedents,Heydar Aliyev Centre,has Principle,Principle,continuous ,9
Precedents,Heydar Aliyev Centre,has Principle,Principle,fluid,7
Precedents,Heydar Aliyev Centre,has Principle,Principle,interior fluidity,13
Precedents,Heydar Aliyev Centre,has Principle,Principle,unconventional and structural solutions,12
Precedents,Heydar Aliyev Centre,has Principle,Principle,plasticity,7
Precedents,Heydar Aliyev Centre,has Principle,Principle,motion,9
Precedents,Hotel de Beauvais,serves as a,Programme,Townhouse,15
Precedents,Hotel de Beauvais,serves as a,Programme,Residence,12
Precedents,Hotel de Beauvais,relates to,Sub-Aspects,Ordering Principle: Symmetry,5
Precedents,Hotel de Beauvais,is designed by,Architect,Antoine le Pautre,15
Precedents,Hotel de Beauvais,has Style,Style,French Baroque,15
Precedents,Hotel de Beauvais,is built using,Materials,Stone,8
Precedents,Hotel de Beauvais,is designed/built in,Year,1656,13
Precedents,Hotel de Beauvais,is located in,Location,France,8
Precedents,Hotel de Beauvais,has Attribute,Attribute,courtyard,8
Precedents,Hotel de Beauvais,has Attribute,Attribute,free plan,10
Precedents,Hotel de Beauvais,has Attribute,Attribute,baroque,13
Precedents,Hotel de Beauvais,has Attribute,Attribute,french baroque,5
Precedents,Hotel de Beauvais,has Attribute,Attribute,stone,14
Precedents,Hotel de Beauvais,has Attribute,Attribute,site response,12
Precedents,Hotel de Beauvais,has Attribute,Attribute,asymmetrical site,6
Precedents,Hotel de Beauvais,has Principle,Principle,symmetry,5
Precedents,Hotel de Beauvais,has Principle,Principle,free plan,12
Precedents,Hotel de Beauvais,has Principle,Principle,adaptive resuse,14
Precedents,Gamble House,serves as a,Programme,Residence,12
Precedents,Gamble House,relates to,Sub-Aspects,Spatial Organisation: Clustered,8
Precedents,Gamble House,has Style,Style,American Craftsmen,14
Precedents,Gamble House,is designed by,Architect,Greene and Greene,10
Precedents,Gamble House,is built using,Materials,Wood,9
Precedents,Gamble House,is designed/built in ,Year,1909,7
Precedents,Gamble House,is located in,Location,United States,15
Precedents,Gamble House,has Attribute,Attribute,transition space,6
Precedents,Gamble House,has Attribute,Attribute,detail,6
Precedents,Gamble House,has Attribute,Attribute,craftsmenship,15
Precedents,Gamble House,has Attribute,Attribute,Japanese,5
Precedents,Gamble House,has Attribute,Attribute,horizontal,8
Precedents,Gamble House,has Attribute,Attribute,modular,12
Precedents,Gamble House,has Attribute,Attribute,asymmetrical,9
Precedents,Gamble House,has Principle,Principle,American Craftsmen,12
Precedents,Friedman House,serves as a,Programme,Residence,13
Precedents,Friedman House,relates to,Sub-Aspects,Spatial Organisation: Clustered,8
Precedents,Friedman House,has Style,Style,Usonian,13
Precedents,Friedman House,is designed by,Architect,Frank Lloyd Wright,12
Precedents,Friedman House,is built using,Materials,Concrete,12
Precedents,Friedman House,is built using,Materials,Wood,5
Precedents,Friedman House,is built using,Materials,Brick,14
Precedents,Friedman House,is designed/built in,Year,1948,13
Precedents,Friedman House,is located in ,Location,United States,6
Precedents,Friedman House,has Attribute,Attribute,contours,9
Precedents,Friedman House,has Attribute,Attribute,circular,11
Precedents,Friedman House,has Principle,Principle,Broadacre City,10
Precedents,Freitag Tower,relates to,Sub-Aspects,Operation: Modulate,6
Precedents,Freitag Tower,serves as a,Programme,Observation Deck,7
Precedents,Freitag Tower,has Style,Style,Cargotecture,14
Precedents,Freitag Tower,is designed by,Architect,Spillmann Echsle Architekten,8
Precedents,Freitag Tower,is built using,Materials,Steel,12
Precedents,Freitag Tower,has Attribute,Attribute,cargo containers,8
Precedents,Freitag Tower,has Attribute,Attribute,landmark,6
Precedents,Freitag Tower,has Attribute,Attribute,daylight,9
Precedents,Freitag Tower,has Principle,Principle,stack,12
Precedents,Freitag Tower,is designed/built in,Year,2006,11
Precedents,Freitag Tower,is located in,Location,Switerland,12
Precedents,Denver Airport,is built using,Materials,PTFE,14
Precedents,Denver Airport,is built using,Materials,Steel,10
Precedents,Denver Airport,serves as a,Programme,Airport,15
Precedents,Denver Airport,has Style,Style,Parametric,8
Precedents,Denver Airport,is designed/built in ,Year,1995,13
Precedents,Denver Airport,is located in ,Location,United States,11
Precedents,Denver Airport,is designed by,Architect,Curtis Fentress,12
Precedents,Denver Airport,has Attribute,Attribute,fabric roof,9
Precedents,Denver Airport,has Attribute,Attribute,canopy,6
Precedents,Denver Airport,has Attribute,Attribute,clerestory window,13
Precedents,Denver Airport,has Attribute,Attribute,curtain-wall,8
Precedents,Denver Airport,has Attribute,Attribute,iconic,10
Precedents,Chee Tong Temple,serves as a,Programme,Place of Worship,13
Precedents,Chee Tong Temple,is built using,Materials,Glass,10
Precedents,Chee Tong Temple,relates to,Sub-Aspects,Site: Climate,15
