From Type,source,Edge,To Type,target,Weight
Precedents,Hunter Point Library,relates to,Sub-Aspects,Operation: Subtract,
Precedents,Hunter Point Library,is designed by,Architect,Steven Holl Architects,
Precedents,Hunter Point Library,has Style,Style,Modern,
Precedents,Hunter Point Library,is built using,Materials,Concrete,
Precedents,Hunter Point Library,is designed/built in,Year,2019,
Precedents,Hunter Point Library,is located in,Location,United States,
Precedents,Hunter Point Library,serves as a ,Programme,Library,
Precedents,Hunter Point Library,has Attribute,Attribute,intimate reading spaces,
Precedents,Hunter Point Library,has Attribute,Attribute,active gathering spaces,
Precedents,Hunter Point Library,has Attribute,Attribute,social spaces,
Precedents,Hunter Point Library,has Attribute,Attribute,mezzanine,
Precedents,Hunter Point Library,has Attribute,Attribute,compact plan,
Precedents,Hunter Point Library,has Attribute,Attribute,natural light,
Precedents,Hunter Point Library,has Attribute,Attribute,sculpted cuts,
Precedents,Hunter Point Library,has Principle,Principle,programmatic divisions,
Precedents,Heydar Aliyev Centre,serves as a,Programme,Cultural center,
Precedents,Heydar Aliyev Centre,relates to,Sub-Aspects,Operation: Curve,
Precedents,Heydar Aliyev Centre,relates to,Sub-Aspects,Structure: Space Frame,
Precedents,Heydar Aliyev Centre,is designed by,Architect,Zaha Hadid Architects,
Precedents,Heydar Aliyev Centre,has Style,Style,Contemporary,
Precedents,Heydar Aliyev Centre,is built using,Materials,Wood,
Precedents,Heydar Aliyev Centre,is built using,Materials,Concrete,
Precedents,Heydar Aliyev Centre,is built using,Materials,Glass Fiber Reinforced Polyester,
Precedents,Heydar Aliyev Centre,is designed/built in,Year,2013,
Precedents,Heydar Aliyev Centre,is located in,Location,Azerbaijan,
Precedents,Heydar Aliyev Centre,has Attribute,Attribute,column-free spaces,
Precedents,Heydar Aliyev Centre,has Attribute,Attribute,aspiring,
Precedents,Heydar Aliyev Centre,has Attribute,Attribute,undulating,
Precedents,Heydar Aliyev Centre,has Attribute,Attribute,folds,
Precedents,Heydar Aliyev Centre,has Attribute,Attribute,inflections,
Precedents,Heydar Aliyev Centre,has Attribute,Attribute,blurring,
Precedents,Heydar Aliyev Centre,has Attribute,Attribute,concrete structure,
Precedents,Heydar Aliyev Centre,has Attribute,Attribute,free-form structure,
Precedents,Heydar Aliyev Centre,has Attribute,Attribute,motion,
Precedents,Heydar Aliyev Centre,has Attribute,Attribute,topography,
Precedents,Heydar Aliyev Centre,has Principle,Principle,continuous ,
Precedents,Heydar Aliyev Centre,has Principle,Principle,fluid,
Precedents,Heydar Aliyev Centre,has Principle,Principle,interior fluidity,
Precedents,Heydar Aliyev Centre,has Principle,Principle,unconventional and structural solutions,
Precedents,Heydar Aliyev Centre,has Principle,Principle,plasticity,
Precedents,Heydar Aliyev Centre,has Principle,Principle,motion,
Precedents,Hotel de Beauvais,serves as a,Programme,Townhouse,
Precedents,Hotel de Beauvais,serves as a,Programme,Residence,
Precedents,Hotel de Beauvais,relates to,Sub-Aspects,Ordering Principle: Symmetry,
Precedents,Hotel de Beauvais,is designed by,Architect,Antoine le Pautre,
Precedents,Hotel de Beauvais,has Style,Style,French Baroque,
Precedents,Hotel de Beauvais,is built using,Materials,Stone,
Precedents,Hotel de Beauvais,is designed/built in,Year,1656,
Precedents,Hotel de Beauvais,is located in,Location,France,
Precedents,Hotel de Beauvais,has Attribute,Attribute,courtyard,
Precedents,Hotel de Beauvais,has Attribute,Attribute,free plan,
Precedents,Hotel de Beauvais,has Attribute,Attribute,baroque,
Precedents,Hotel de Beauvais,has Attribute,Attribute,french baroque,
Precedents,Hotel de Beauvais,has Attribute,Attribute,stone,
Precedents,Hotel de Beauvais,has Attribute,Attribute,site response,
Precedents,Hotel de Beauvais,has Attribute,Attribute,asymmetrical site,
Precedents,Hotel de Beauvais,has Principle,Principle,symmetry,
Precedents,Hotel de Beauvais,has Principle,Principle,free plan,
Precedents,Hotel de Beauvais,has Principle,Principle,adaptive resuse,
Precedents,Gamble House,serves as a,Programme,Residence,
Precedents,Gamble House,relates to,Sub-Aspects,Spatial Organisation: Clustered,
Precedents,Gamble House,has Style,Style,American Craftsmen,
Precedents,Gamble House,is designed by,Architect,Greene and Greene,
Precedents,Gamble House,is built using,Materials,Wood,
Precedents,Gamble House,is designed/built in ,Year,1909,
Precedents,Gamble House,is located in,Location,United States,
Precedents,Gamble House,has Attribute,Attribute,transition space,
Precedents,Gamble House,has Attribute,Attribute,detail,
Precedents,Gamble House,has Attribute,Attribute,craftsmenship,
Precedents,Gamble House,has Attribute,Attribute,Japanese,
Precedents,Gamble House,has Attribute,Attribute,horizontal,
Precedents,Gamble House,has Attribute,Attribute,modular,
Precedents,Gamble House,has Attribute,Attribute,asymmetrical,
Precedents,Gamble House,has Principle,Principle,American Craftsmen,
Precedents,Friedman House,serves as a,Programme,Residence,
Precedents,Friedman House,relates to,Sub-Aspects,Spatial Organisation: Clustered,
Precedents,Friedman House,has Style,Style,Usonian,
Precedents,Friedman House,is designed by,Architect,Frank Lloyd Wright,
Precedents,Friedman House,is built using,Materials,Concrete,
Precedents,Friedman House,is built using,Materials,Wood,
Precedents,Friedman House,is built using,Materials,Brick,
Precedents,Friedman House,is designed/built in,Year,1948,
Precedents,Friedman House,is located in ,Location,United States,
Precedents,Friedman House,has Attribute,Attribute,contours,
Precedents,Friedman House,has Attribute,Attribute,circular,
Precedents,Friedman House,has Principle,Principle,Broadacre City,
Precedents,Freitag Tower,relates to,Sub-Aspects,Operation: Modulate,
Precedents,Freitag Tower,serves as a,Programme,Observation Deck,
Precedents,Freitag Tower,has Style,Style,Cargotecture,
Precedents,Freitag Tower,is designed by,Architect,Spillmann Echsle Architekten,
Precedents,Freitag Tower,is built using,Materials,Steel,
Precedents,Freitag Tower,has Attribute,Attribute,cargo containers,
Precedents,Freitag Tower,has Attribute,Attribute,landmark,
Precedents,Freitag Tower,has Attribute,Attribute,daylight,
Precedents,Freitag Tower,has Principle,Principle,stack,
Precedents,Freitag Tower,is designed/built in,Year,2006,
Precedents,Freitag Tower,is located in,Location,Switerland,
Precedents,Denver Airport,is built using,Materials,PTFE,
Precedents,Denver Airport,is built using,Materials,Steel,
Precedents,Denver Airport,serves as a,Programme,Airport,
Precedents,Denver Airport,has Style,Style,Parametric,
Precedents,Denver Airport,is designed/built in ,Year,1995,
Precedents,Denver Airport,is located in ,Location,United States,
Precedents,Denver Airport,is designed by,Architect,Curtis Fentress,
Precedents,Denver Airport,has Attribute,Attribute,fabric roof,
Precedents,Denver Airport,has Attribute,Attribute,canopy,
Precedents,Denver Airport,has Attribute,Attribute,clerestory window,
Precedents,Denver Airport,has Attribute,Attribute,curtain-wall,
